,OT REPORT - CITYWIDE BY UNIT 1/1/2018 - 5/1/2018,
January,"GRAND TOTAL: 8,854,588.80",
,,
001,District Law Enforcement,"101,832.11"
002,District Law Enforcement,"113,977.82"
003,District Law Enforcement,"99,606.10"
004,District Law Enforcement,"151,385.82"
005,District Law Enforcement,"174,676.18"
006,District Law Enforcement,"182,982.37"
007,District Law Enforcement,"191,683.19"
008,District Law Enforcement,"167,342.34"
009,District Law Enforcement,"154,720.90"
010,District Law Enforcement,"247,366.43"
Oil,District Law Enforcement,"205,512.83"
012,District Law Enforcement,"116,233.90"
014,District Law Enforcement,"94,465.47"
015,District Law Enforcement,"157,214.41"
016,District Law Enforcement,"119,745.16"
017,District Law Enforcement,"78,461.20"
018,District Law Enforcement,"131,352.98"
019,District Law Enforcement,"138,263.54"
020,District Law Enforcement,"73,301.17"
022,District Law Enforcement,"100,775.95"
024,District Law Enforcement,"91,791.35"
025,District Law Enforcement,"167,672.71"
045,Gang Team Area 2,"2,007.83"
050,Airport Law Enforcement - North,"124,401.60"
051,Airport Law Enforcement - South,"16,241.54"
055,Off. Deputy Chief A/l,"7,347.86"
057,Traffic Section-Detail Unit,"17,337.76"
059,Marine Unit,"24,286.18"
060,District Law Enforcement,"4,859.23"
079,Special Investigations Unit,"144,510.62"
102,District Law Enforcement,"9,995.17"
111,Office of the Superintendent,"3,452.25"
114,Office of Legal Affairs,"19,858.25"
115,Office of Crime Control Strategies,"6,414.35"
116,Deployment Operations Center,"27,203.79"
120,Bureau of Organizational Development,129.84
121,Bureau of Internal Affairs,"68,116.84"
122,Finance Division,"1,395.80"
123,Human Resources Division,"121,356.45"
124,Off. Deputy Chief A/l,"172,209.14"
125,Public Safety Information Technology (PSIT),"11,125.19"
126,Inspection Division,"2,253.31"
127,District Law Enforcement,"8,459.15"
128,Education & Training Division,"2,478.12"
130,District Law Enforcement,"2,809.04"
133,Information & Strategic Services,"4,511.53"
134,Gang Investigation Division,"2,929.99"
135,District Law Enforcement,"3,757.80"
136,District Law Enforcement,"1,840.95"
140,Office of the First Deputy Superintendent,"1,470.30"
142,Gang Team Area 1,"2,890.34"
143,District Law Enforcement,"3,258.76"
145,Traffic Administration Unit,"53,969.10"
153,Special Functions Support,"73,999.39"
161,Criminal Registration Unit,"1,441.20"
,,
,OT REPORT - CITYWIDE BY UNIT 1/1/2018 - 5/1/2018,
January,"GRAND TOTAL: 8,854,588.80",
,,
163,Gang Team Area 3,"5,255.91"
166,District Law Enforcement,"13,443.63"
167,Evidence and Recovered Property Section,"2,449.89"
169,Police Documents Section,277.10
171,Central Detention Unit,"12,427.88"
172,District Law Enforcement,"1,615.74"
177,Detective Div. - Area 2,"76,574.97"
180,Detective Div. - Area 2,"22,068.91"
181,Bureau Of Detectives - Administration,"80,349.34"
184,Special Investigations Unit,"5,932.42"
187,Detective Div. - Area 1,"14,378.65"
188,District Law Enforcement,"2,022.63"
189,Narcotics Division,"689,729.09"
191,Intelligence Division,"90,490.53"
